,Issuance_Date,Asset_Class,Deal_Name,Region,Ticker,Tranche,Currency,Size(M),WAL,WALX,Moodys,S&P,Fitch,DBRS,Kroll,MorningStar,C/E,LTV,TYPE,Bench,Guidance-L,Guidance-H,Spread,Coupon,Yield,Issue_Price,Market_Type
WOART-2008-A,2008-03-12,AUTO,WOART-2008-A,USOA,WOART,B,USD,70.590,-,-,-,-,-,-,-,-,-,-,Fixed,-,-,-,-,-,-,-,UKPrime
WOART-2008-A,2008-03-12,AUTO,WOART-2008-A,USOA,WOART,A1,USD,266.000,0.31,-,P-1,A-1+,-,-,-,-,-,-,Floating,1mL,-,-,-,L+9,-,-,UKPrime
WOART-2008-A,2008-03-12,AUTO,WOART-2008-A,USOA,WOART,A2,USD,336.000,1.05,-,Aaa,AAA,-,-,-,-,-,-,Fixed,EDSF,-,-,100,-,-,100.00000,UKPrime
WOART-2008-A,2008-03-12,AUTO,WOART-2008-A,USOA,WOART,A4,USD,181.000,3.30,-,Aaa,AAA,-,-,-,-,-,-,Fixed,Swaps,-,-,175,-,4.790%,-,UKPrime
WOART-2008-A,2008-03-12,AUTO,WOART-2008-A,USOA,WOART,A3B,USD,107.000,2.15,-,Aaa,AAA,-,-,-,-,-,-,Floating,-,-,-,130,1mL+130,-,100.00000,UKPrime
WOART-2008-A,2008-03-12,AUTO,WOART-2008-A,USOA,WOART,A3A,USD,210.000,2.15,-,Aaa,AAA,-,-,-,-,-,-,Fixed,-,-,-,130,-,3.980%,100.00000,UKPrime
FITAT-2008-1,2008-03-26,AUTO,FITAT-2008-1,USOA,FITAT,A2A,USD,102.000,1.15,-,Baa1,BBB,-,-,-,-,-,-,Fixed,EDSF,-,-,125,3.58%,3.620%,99.98884,UKPrime
FITAT-2008-1,2008-03-26,AUTO,FITAT-2008-1,USOA,FITAT,A1,USD,201.000,0.32,-,Baa1,BBB,-,-,-,-,-,-,Fixed,1mL,-,-,7,2.73%,2.730%,100.00000,UKPrime
FITAT-2008-1,2008-03-26,AUTO,FITAT-2008-1,USOA,FITAT,A3,USD,157.000,2.05,-,Baa1,BBB,-,-,-,-,-,-,Fixed,Swaps,-,-,155,4.07%,4.110%,99.99563,UKPrime
FITAT-2008-1,2008-03-26,AUTO,FITAT-2008-1,USOA,FITAT,A2B,USD,143.000,1.15,-,NR,BBB,-,-,-,-,-,-,Floating,-,-,-,7,1mL+125,-,100.00000,UKPrime
FITAT-2008-1,2008-03-26,AUTO,FITAT-2008-1,USOA,FITAT,A4B,USD,30.000,2.98,-,Baa1,BBB,-,-,-,-,-,-,Floating,-,-,-,7,1mL+200,-,100.00000,UKPrime
FITAT-2008-1,2008-03-26,AUTO,FITAT-2008-1,USOA,FITAT,B,USD,20.900,3.70,-,Aa1,AA,-,-,-,-,-,-,Fixed,Swaps,-,-,7,2.73%,2.730%,99.98928,UKPrime
FITAT-2008-1,2008-03-26,AUTO,FITAT-2008-1,USOA,FITAT,C,USD,20.500,3.99,-,Aa3,A,-,-,-,-,-,-,Fixed,Swaps,-,-,7,6.08%,6.160%,99.98149,UKPrime
FITAT-2008-1,2008-03-26,AUTO,FITAT-2008-1,USOA,FITAT,D,USD,23.400,4.39,-,Baa1,BBB,-,-,-,-,-,-,Fixed,1mL,-,-,350,6.66%,6.760%,99.97487,UKPrime
FITAT-2008-1,2008-03-26,AUTO,FITAT-2008-1,USOA,FITAT,A4,USD,117.000,2.98,-,Baa1,BBB,-,-,-,-,-,-,Fixed,Swaps,-,-,200,4.81%,4.860%,99.99059,UKPrime
FORDO-2008-B,2008-04-15,AUTO,FORDO-2008-B,USOA,FORDO,A2,USD,497.900,1.00,-,Aaa,AAA,AAA,-,-,-,-,-,Floating,1mL,-,-,120,1mL+120,-,-,UKPrime
FORDO-2008-B,2008-04-15,AUTO,FORDO-2008-B,USOA,FORDO,A3A,USD,359.200,2.00,-,Aaa,AAA,AAA,-,-,-,-,-,Fixed,Swaps,-,-,162,4.33%,4.330%,-,UKPrime
FORDO-2008-B,2008-04-15,AUTO,FORDO-2008-B,USOA,FORDO,A3B,USD,80.000,2.00,-,Aaa,AAA,AAA,-,-,-,-,-,Floating,1mL,-,-,162,1mL+162,-,-,UKPrime
FORDO-2008-B,2008-04-15,AUTO,FORDO-2008-B,USOA,FORDO,A4A,USD,120.700,3.01,-,Aaa,AAA,AAA,-,-,-,-,-,Fixed,Swaps,-,-,200,5.01%,5.010%,-,UKPrime
FORDO-2008-B,2008-04-15,AUTO,FORDO-2008-B,USOA,FORDO,A4B,USD,50.000,3.01,-,Aaa,AAA,AAA,-,-,-,-,-,Floating,1mL,-,-,200,1mL+200,-,-,UKPrime
FORDO-2008-B,2008-04-15,AUTO,FORDO-2008-B,USOA,FORDO,C,USD,31.500,3.81,-,A3,BBB+,BBB,-,-,-,-,-,Fixed,-,-,-,-,-,-,-,UKPrime
FORDO-2008-B,2008-04-15,AUTO,FORDO-2008-B,USOA,FORDO,D,USD,31.500,3.81,-,Ba1,BB+,BB,-,-,-,-,-,Fixed,-,-,-,-,-,-,-,UKPrime
FORDO-2008-B,2008-04-15,AUTO,FORDO-2008-B,USOA,FORDO,A1,USD,390.000,0.29,-,P-1,A-1+,-,-,-,-,-,-,Floating,1mL,-,-,5,-,-,-,UKPrime
FORDO-2008-B,2008-04-15,AUTO,FORDO-2008-B,USOA,FORDO,B,USD,47.300,3.69,-,Aa3,A+,A,-,-,-,-,-,Fixed,-,-,-,-,-,-,-,UKPrime
NALT-2008-A,2008-04-16,AUTO,NALT-2008-A,USOA,NALT,A-2B,USD,75.000,1.30,-,Aaa,AAA,-,-,-,-,-,-,Floating,1mL,-,-,155,1mL+155,-,100.00000,UKPrime
NALT-2008-A,2008-04-16,AUTO,NALT-2008-A,USOA,NALT,A-4,USD,22.724,-,-,-,-,-,-,-,-,-,-,Fixed,-,-,-,-,5.56%,-,Retained,UKPrime
NALT-2008-A,2008-04-16,AUTO,NALT-2008-A,USOA,NALT,A-3B,USD,70.000,2.23,-,Aaa,AAA,-,-,-,-,-,-,Fixed,1mL,-,-,220,1mL+220,2.810%,100.00000,UKPrime
NALT-2008-A,2008-04-16,AUTO,NALT-2008-A,USOA,NALT,A-3A,USD,155.000,2.23,-,Aaa,AAA,-,-,-,-,-,-,Fixed,Swaps,-,-,220,5.14%,5.200%,99.99680,UKPrime
NALT-2008-A,2008-04-16,AUTO,NALT-2008-A,USOA,NALT,A-2A,USD,98.000,1.30,-,Aaa,AAA,-,-,-,-,-,-,Fixed,EDSF,-,-,155,4.27%,4.320%,99.99042,UKPrime
NALT-2008-A,2008-04-16,AUTO,NALT-2008-A,USOA,NALT,A-1,USD,77.100,0.35,-,P-1,A-1+,-,-,-,-,-,-,Fixed,1mL,-,-,7,2.81%,2.810%,100.00000,UKPrime
USAOT-2008-2,2008-04-22,AUTO,USAOT-2008-2,USOA,USAOT,A1,USD,242.000,0.33,-,Aaa,AAA,-,-,-,-,-,-,Fixed,-,-,-,-,-,-,-,UKPrime
USAOT-2008-2,2008-04-22,AUTO,USAOT-2008-2,USOA,USAOT,A2,USD,250.000,1.05,-,Aaa,AAA,-,-,-,-,-,-,Fixed,EDSF,-,-,100,-,3.950%,-,UKPrime
USAOT-2008-2,2008-04-22,AUTO,USAOT-2008-2,USOA,USAOT,A3,USD,347.000,2.15,-,Aaa,AAA,-,-,-,-,-,-,Fixed,Swaps,-,-,155,-,-,-,UKPrime
USAOT-2008-2,2008-04-22,AUTO,USAOT-2008-2,USOA,USAOT,A4,USD,133.500,3.29,-,Aaa,AAA,-,-,-,-,-,-,Fixed,Swaps,-,-,180,-,5.220%,-,UKPrime
USAOT-2008-2,2008-04-22,AUTO,USAOT-2008-2,USOA,USAOT,B,USD,27.500,3.38,-,NR,BBB,-,-,-,-,-,-,Fixed,-,-,-,-,-,-,-,UKPrime
VALET-2008-1,2008-05-01,AUTO,VALET-2008-1,USOA,VALET,A1,USD,245.000,0.31,-,Aaa,AAA,-,-,-,-,-,-,Fixed,1mL,-,-,3,-,2.840%,-,UKPrime
VALET-2008-1,2008-05-01,AUTO,VALET-2008-1,USOA,VALET,A2,USD,305.000,1.12,-,Aaa,AAA,-,-,-,-,-,-,Fixed,EDSF,-,-,85,-,3.740%,-,UKPrime
VALET-2008-1,2008-05-01,AUTO,VALET-2008-1,USOA,VALET,A3,USD,255.000,2.12,-,Aaa,AAA,-,-,-,-,-,-,Fixed,Swaps,-,-,135,-,4.550%,-,UKPrime
VALET-2008-1,2008-05-01,AUTO,VALET-2008-1,USOA,VALET,A4,USD,214.450,3.26,-,Aaa,AAA,-,-,-,-,-,-,Fixed,-,-,-,170,-,-,-,UKPrime
DCAT-2008-B,2008-05-05,AUTO,DCAT-2008-B,USOA,DCAT,A3B,USD,105.000,2.25,-,Aaa,AAA,AAA,AAA,-,-,-,-,Floating,-,-,-,-,1mL+148,-,100.00000,UKPrime
CARMX-2008-A,2008-05-05,AUTO,CARMX-2008-A,USOA,CARMX,A-1,USD,142.000,0.22,-,P-1,A-1+,-,-,-,-,-,-,Fixed,-,-,-,-,-,-,-,UKPrime
CARMX-2008-A,2008-05-05,AUTO,CARMX-2008-A,USOA,CARMX,A-2,USD,268.000,1.00,-,Aaa,AAA,-,-,-,-,-,-,Fixed,-,-,-,-,-,-,-,UKPrime
CARMX-2008-A,2008-05-05,AUTO,CARMX-2008-A,USOA,CARMX,A-3,USD,184.000,2.20,-,Aaa,AAA,-,-,-,-,-,-,Fixed,-,-,-,-,-,-,-,UKPrime
CARMX-2008-A,2008-05-05,AUTO,CARMX-2008-A,USOA,CARMX,A-4,USD,79.000,3.21,-,Aaa,AAA,-,-,-,-,-,-,Fixed,-,-,-,-,-,-,-,UKPrime
CARMX-2008-A,2008-05-05,AUTO,CARMX-2008-A,USOA,CARMX,B,USD,45.000,3.53,-,A2,A,-,-,-,-,-,-,Fixed,-,-,-,-,-,-,-,UKPrime
DCAT-2008-B,2008-05-05,AUTO,DCAT-2008-B,USOA,DCAT,A4B,USD,40.000,3.13,-,Aaa,AAA,AAA,AAA,-,-,-,-,Floating,-,-,-,-,1mL+185,-,100.00000,UKPrime
DCAT-2008-B,2008-05-05,AUTO,DCAT-2008-B,USOA,DCAT,A3A,USD,205.000,2.25,-,Aaa,AAA,AAA,AAA,-,-,-,-,Fixed,Swaps,-,-,148,-,4.760%,-,UKPrime
DCAT-2008-B,2008-05-05,AUTO,DCAT-2008-B,USOA,DCAT,B,USD,90.300,3.55,-,Aaa,AAA,A,A,-,-,-,-,Fixed,-,-,-,-,-,-,-,UKPrime
DCAT-2008-B,2008-05-05,AUTO,DCAT-2008-B,USOA,DCAT,A1,USD,325.000,0.26,-,P-1,A-1+,-,-,-,-,-,-,Floating,1mL,-,-,-,2.80%,2.800%,100.00000,UKPrime
DCAT-2008-B,2008-05-05,AUTO,DCAT-2008-B,USOA,DCAT,C,USD,45.200,3.55,-,NR,BBB,BBB,BBB,-,-,-,-,Fixed,-,-,-,-,-,-,-,UKPrime
DCAT-2008-B,2008-05-05,AUTO,DCAT-2008-B,USOA,DCAT,A2A,USD,195.000,1.10,-,Aaa,AAA,AAA,AAA,-,-,-,-,Fixed,EDSF,-,-,93,3.84%,-,100.00000,UKPrime
DCAT-2008-B,2008-05-05,AUTO,DCAT-2008-B,USOA,DCAT,A2B,USD,370.000,1.10,-,Aaa,AAA,AAA,AAA,-,-,-,-,Floating,-,-,-,-,1mL+93,-,100.00000,UKPrime
DCAT-2008-B,2008-05-05,AUTO,DCAT-2008-B,USOA,DCAT,A4A,USD,125.500,3.13,-,Aaa,AAA,AAA,AAA,-,-,-,-,Floating,Swaps,-,-,185,-,5.390%,-,UKPrime
FORDO-2008-C,2008-05-16,AUTO,FORDO-2008-C,USOA,FORDO,A4B,USD,300.000,2.99,-,Aaa,AAA,AAA,-,-,-,-,-,Floating,1mL,-,-,175,1mL+175,-,100.00000,UKPrime
FORDO-2008-C,2008-05-16,AUTO,FORDO-2008-C,USOA,FORDO,A4A,USD,360.600,2.99,-,Aaa,AAA,AAA,-,-,-,-,-,Fixed,Swaps,-,-,175,-,5.220%,-,UKPrime
FORDO-2008-C,2008-05-16,AUTO,FORDO-2008-C,USOA,FORDO,C,USD,112.900,3.81,-,Baa1,BBB+,BBB,-,-,-,-,-,Fixed,Swaps,-,-,-,-,-,100.00000,UKPrime
FORDO-2008-C,2008-05-16,AUTO,FORDO-2008-C,USOA,FORDO,A2B,USD,"1,320.000",0.99,-,Aaa,AAA,AAA,-,-,-,-,-,Floating,-,-,-,-,1mL+90,-,100.00000,UKPrime
FORDO-2008-C,2008-05-16,AUTO,FORDO-2008-C,USOA,FORDO,D,USD,112.900,3.81,-,Ba2,BB+,BB,-,-,-,-,-,Fixed,Swaps,-,-,-,-,-,-,UKPrime
FORDO-2008-C,2008-05-16,AUTO,FORDO-2008-C,USOA,FORDO,A2A,USD,400.000,0.99,-,Aaa,AAA,AAA,-,-,-,-,-,Fixed,EDSF,-,-,90,3.75%,3.750%,100.00000,UKPrime
FORDO-2008-C,2008-05-16,AUTO,FORDO-2008-C,USOA,FORDO,A1,USD,"1,400.000",0.29,-,P-1,A-1+,-,-,-,-,-,-,Fixed,1mL,-,-,-,2.78%,-,-,UKPrime
FORDO-2008-C,2008-05-16,AUTO,FORDO-2008-C,USOA,FORDO,B,USD,169.300,3.69,-,A1,A+,A,-,-,-,-,-,Fixed,Swaps,-,-,-,-,-,-,UKPrime
FORDO-2008-C,2008-05-16,AUTO,FORDO-2008-C,USOA,FORDO,A3,USD,"1,582.000",1.97,-,Aaa,AAA,AAA,-,-,-,-,-,Floating,-,-,-,-,1mL+42,-,100.00000,UKPrime
HUNT-2008-1,2008-06-03,AUTO,HUNT-2008-1,USOA,HUNT,D,USD,32.800,3.51,-,NR,BBB,-,-,-,-,-,-,Fixed,-,-,-,-,-,-,-,UKPrime
HUNT-2008-1,2008-06-03,AUTO,HUNT-2008-1,USOA,HUNT,B,USD,27.830,3.50,-,Aa2,AA,-,-,-,-,-,-,Fixed,-,-,-,-,-,-,-,UKPrime
HUNT-2008-1,2008-06-03,AUTO,HUNT-2008-1,USOA,HUNT,C,USD,27.330,3.51,-,A2,A,-,-,-,-,-,-,Fixed,-,-,-,-,-,-,-,UKPrime
HUNT-2008-1,2008-06-03,AUTO,HUNT-2008-1,USOA,HUNT,A1,USD,230.000,0.36,-,P-1,A-1+,-,-,-,-,-,-,Fixed,-,-,-,-,-,-,-,UKPrime
HUNT-2008-1,2008-06-03,AUTO,HUNT-2008-1,USOA,HUNT,A2B,USD,110.000,1.00,-,A2,A,-,-,-,-,-,-,Floating,-,-,-,-,1mL+100,-,-,UKPrime
HUNT-2008-1,2008-06-03,AUTO,HUNT-2008-1,USOA,HUNT,A3A,USD,263.000,1.93,-,Aaa,AAA,-,-,-,-,-,-,Fixed,EDSF,-,-,150,-,4.870%,-,UKPrime
HUNT-2008-1,2008-06-03,AUTO,HUNT-2008-1,USOA,HUNT,A3B,USD,50.000,1.93,-,Aaa,AAA,-,-,-,-,-,-,Floating,-,-,-,150,1mL+150,-,-,UKPrime
HUNT-2008-1,2008-06-03,AUTO,HUNT-2008-1,USOA,HUNT,A2A,USD,100.000,1.00,-,Aaa,AAA,-,-,-,-,-,-,Fixed,EDSF,-,-,100,-,3.970%,-,UKPrime
HUNT-2008-1,2008-06-03,AUTO,HUNT-2008-1,USOA,HUNT,A4,USD,134.110,2.99,-,Aaa,AAA,-,-,-,-,-,-,Fixed,-,-,-,-,-,-,-,UKPrime
NAROT-2008-B,2008-06-09,AUTO,NAROT-2008-B,USOA,NAROT,A-4,USD,250.210,3.41,-,Aaa,AAA,-,-,-,-,-,-,Fixed,Swaps,-,-,105,5.05%,5.110%,99.97083,UKPrime
NAROT-2008-B,2008-06-09,AUTO,NAROT-2008-B,USOA,NAROT,A-3,USD,381.000,2.00,-,Aaa,AAA,-,-,-,-,-,-,Fixed,Swaps,-,-,87,4.46%,4.510%,99.99380,UKPrime
NAROT-2008-B,2008-06-09,AUTO,NAROT-2008-B,USOA,NAROT,A-2,USD,288.000,0.99,-,Aaa,AAA,-,-,-,-,-,-,Fixed,EDSF,-,-,-,3.80%,3.840%,99.99453,UKPrime
NAROT-2008-B,2008-06-09,AUTO,NAROT-2008-B,USOA,NAROT,A-1,USD,275.000,0.32,-,P-1,A-1+,-,-,-,-,-,-,Fixed,IntL,-,-,2,2.79%,2.790%,100.00000,UKPrime
WAOT-2008-A,2008-06-12,AUTO,WAOT-2008-A,USOA,WAOT,A2B,USD,139.000,1.10,-,Aaa,AAA,-,-,-,-,-,-,Floating,-,-,-,-,1mL+67,-,-,UKPrime
WAOT-2008-A,2008-06-12,AUTO,WAOT-2008-A,USOA,WAOT,A2A,USD,175.000,1.10,-,Aaa,AAA,-,-,-,-,-,-,Fixed,EDSF,-,-,67,-,-,-,UKPrime
WAOT-2008-A,2008-06-12,AUTO,WAOT-2008-A,USOA,WAOT,A3B,USD,100.000,2.10,-,Aaa,AAA,-,-,-,-,-,-,Fixed,Swaps,-,-,95,-,-,-,UKPrime
WAOT-2008-A,2008-06-12,AUTO,WAOT-2008-A,USOA,WAOT,A1,USD,232.000,0.34,-,Baa2,BBB-,-,-,-,-,-,-,Fixed,1mL,-,-,3,L+3,-,-,UKPrime
WAOT-2008-A,2008-06-12,AUTO,WAOT-2008-A,USOA,WAOT,A4B,USD,165.750,3.27,-,Aaa,AAA,-,-,-,-,-,-,Fixed,Swaps,-,-,115,-,-,-,UKPrime
WAOT-2008-A,2008-06-12,AUTO,WAOT-2008-A,USOA,WAOT,A3A,USD,183.000,2.10,-,Aaa,AAA,-,-,-,-,-,-,Fixed,Swaps,-,-,95,-,-,-,UKPrime
WAOT-2008-A,2008-06-12,AUTO,WAOT-2008-A,USOA,WAOT,A4A,USD,75.000,3.27,-,Aaa,AAA,-,-,-,-,-,-,Fixed,Swaps,-,-,115,-,-,-,UKPrime
WAOT-2008-A,2008-06-12,AUTO,WAOT-2008-A,USOA,WAOT,B,USD,30.250,3.59,-,Baa2,BBB-,-,-,-,-,-,-,Fixed,1mL,-,-,-,-,-,-,UKPrime
HART-2008-A,2008-06-16,AUTO,HART-2008-A,USOA,HART,A-1,USD,159.000,0.26,-,P-1,A-1+,-,-,-,-,-,-,Floating,1mL,-,-,2,2.85%,2.848%,100.00000,UKPrime
HART-2008-A,2008-06-16,AUTO,HART-2008-A,USOA,HART,A-2,USD,179.000,1.00,-,Aaa,AAA,-,-,-,-,-,-,Fixed,EDSF,-,-,68,4.16%,4.206%,99.99077,UKPrime
HART-2008-A,2008-06-16,AUTO,HART-2008-A,USOA,HART,A-3,USD,171.000,2.20,-,Aaa,AAA,-,-,-,-,-,-,Fixed,Swaps,-,-,95,4.93%,4.989%,99.98370,UKPrime
