Unnamed: 0,Issuance_Date,Asset_Class,Deal_Name,Region,Ticker,Tranche,Currency,Size(M),WAL,WALX,Moodys,S&P,Fitch,DBRS,Kroll,MorningStar,C/E,LTV,TYPE,Bench,Guidance-L,Guidance-H,Spread,Coupon,Yield,Issue_Price,Market_Type,ReinvestmentPeriod
ECP-2008-1,2008-01-30,CLOS,ECP-2008-1,USOA,ECP,A-1,USD,533.000,-,-,Aaa,-,-,-,-,-,-,-,Floating,3mL,-,-,-,85,-,-,BS,-
ECP-2008-1,2008-01-30,CLOS,ECP-2008-1,USOA,ECP,Equity,USD,126.900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BS,-
ECP-2008-1,2008-01-30,CLOS,ECP-2008-1,USOA,ECP,A-2,USD,32.350,-,-,Aa2,AA,-,-,-,-,-,-,Floating,3mL,-,-,-,300,-,-,BS,-
ECP-2008-1,2008-01-30,CLOS,ECP-2008-1,USOA,ECP,B,USD,51.630,-,-,A2,A,-,-,-,-,-,-,Floating,3mL,-,-,-,400,-,-,BS,-
GALXY-X,2008-02-12,CLOS,GALXY-X,USOA,GALXY,B,USD,21.000,9.00,-,Aa2,AA,-,-,-,-,-,-,Floating,3mL,-,-,-,257,-,-,BS,-
GALXY-X,2008-02-12,CLOS,GALXY-X,USOA,GALXY,C,USD,22.230,9.00,-,A2,A,-,-,-,-,-,-,Floating,3mL,-,-,-,300,-,-,BS,-
GALXY-X,2008-02-12,CLOS,GALXY-X,USOA,GALXY,D,USD,12.700,9.00,-,Baa2,BBB,-,-,-,-,-,-,Floating,3mL,-,-,-,445,-,-,BS,-
GALXY-X,2008-02-12,CLOS,GALXY-X,USOA,GALXY,Equity,USD,35.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BS,-
GALXY-X,2008-02-12,CLOS,GALXY-X,USOA,GALXY,A,USD,259.000,8.80,-,Aaa,AAA,-,-,-,-,-,-,Floating,3mL,-,-,-,62,-,-,BS,-
CAMLV-I,2008-02-14,CLOS,CAMLV-I,USOA,CAMLV,Equity,USD,53.050,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MM,-
CAMLV-I,2008-02-14,CLOS,CAMLV-I,USOA,CAMLV,B,USD,46.750,7.60,-,Aa2,-,-,-,-,-,-,-,Floating,3mL,-,-,-,250,-,-,MM,-
CAMLV-I,2008-02-14,CLOS,CAMLV-I,USOA,CAMLV,E,USD,24.500,9.10,-,Ba2,-,-,-,-,-,-,-,Floating,3mL,-,-,-,800,-,-,MM,-
CAMLV-I,2008-02-14,CLOS,CAMLV-I,USOA,CAMLV,D,USD,20.500,8.10,-,Baa2,-,-,-,-,-,-,-,Floating,3mL,-,-,-,500,-,-,MM,-
CAMLV-I,2008-02-14,CLOS,CAMLV-I,USOA,CAMLV,C,USD,31.500,7.80,-,A2,-,-,-,-,-,-,-,Floating,3mL,-,-,-,300,-,-,MM,-
CAMLV-I,2008-02-14,CLOS,CAMLV-I,USOA,CAMLV,A,USD,555.000,6.10,-,Aaa,-,-,-,-,-,-,-,Floating,3mL,-,-,-,85,-,-,MM,-
BABSN-I,2008-02-22,CLOS,BABSN-I,USOA,BABSN,E,USD,16.500,7.80,-,Ba2,BB,-,-,-,-,-,-,Floating,3mL,-,-,-,750,-,-,,
BABSN-I,2008-02-22,CLOS,BABSN-I,USOA,BABSN,A,USD,421.000,5.70,-,Aaa,-,-,-,-,-,-,-,Floating,3mL,-,-,-,135,-,-,,
BABSN-I,2008-02-22,CLOS,BABSN-I,USOA,BABSN,Equity,USD,41.500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
BABSN-I,2008-02-22,CLOS,BABSN-I,USOA,BABSN,C,USD,24.500,7.60,-,A2,A,-,-,-,-,-,-,Floating,3mL,-,-,-,450,-,-,,
BABSN-I,2008-02-22,CLOS,BABSN-I,USOA,BABSN,D,USD,22.000,7.60,-,Baa2,BBB,-,-,-,-,-,-,Floating,3mL,-,-,-,550,-,-,,
BABSN-I,2008-02-22,CLOS,BABSN-I,USOA,BABSN,B,USD,24.500,7.40,-,Aa2,AA,-,-,-,-,-,-,Floating,3mL,-,-,-,300,-,-,,
VINCA-I,2008-03-04,CLOS,VINCA-I,USOA,VINCA,A-1,USD,477.000,5.70,-,Aaa,-,-,-,-,-,-,-,Floating,3mL,-,-,-,140,-,-,MM,-
VINCA-I,2008-03-04,CLOS,VINCA-I,USOA,VINCA,E,USD,44.000,7.80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MM,-
VINCA-I,2008-03-04,CLOS,VINCA-I,USOA,VINCA,A-2,USD,33.980,5.70,-,Aa2,AA,-,-,-,-,-,-,Floating,3mL,-,-,-,350,-,-,MM,-
VINCA-I,2008-03-04,CLOS,VINCA-I,USOA,VINCA,Equity,USD,5.600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MM,-
VINCA-I,2008-03-04,CLOS,VINCA-I,USOA,VINCA,C,USD,22.600,7.60,-,Baa2,BBB,-,-,-,-,-,-,Floating,3mL,-,-,-,700,-,-,MM,-
VINCA-I,2008-03-04,CLOS,VINCA-I,USOA,VINCA,B,USD,30.600,7.40,-,A2,A,-,-,-,-,-,-,Floating,3mL,-,-,-,500,-,-,MM,-
VINCA-I,2008-03-04,CLOS,VINCA-I,USOA,VINCA,D,USD,66.800,7.60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MM,-
BUSLF-II,2008-03-07,CLOS,BUSLF-II,USOA,BUSLF,C,USD,38.300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Other,-
BUSLF-II,2008-03-07,CLOS,BUSLF-II,USOA,BUSLF,B,USD,21.800,4.90,-,A2,A,-,-,-,-,-,-,Floating,3mL,-,-,-,500,-,-,Other,-
BUSLF-II,2008-03-07,CLOS,BUSLF-II,USOA,BUSLF,Preff,USD,3.200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Other,-
BUSLF-II,2008-03-07,CLOS,BUSLF-II,USOA,BUSLF,A-2,USD,7.750,4.80,-,Aa2,AA,-,-,-,-,-,-,Floating,3mL,-,-,-,350,-,-,Other,-
BUSLF-II,2008-03-07,CLOS,BUSLF-II,USOA,BUSLF,A-1,USD,281.800,-,-,Aaa,-,-,-,-,-,-,-,Floating,3mL,-,-,-,200,-,-,Other,-
BUSLF-II,2008-03-07,CLOS,BUSLF-II,USOA,BUSLF,D,USD,25.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Other,-
STDLF-II,2008-03-12,CLOS,STDLF-II,USOA,STDLF,A-1,USD,404.000,-,-,Aaa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Other,-
STDLF-II,2008-03-12,CLOS,STDLF-II,USOA,STDLF,B,USD,22.000,5.00,-,A2,A,-,-,-,-,-,-,Floating,3mL,-,-,-,500,-,-,Other,-
STDLF-II,2008-03-12,CLOS,STDLF-II,USOA,STDLF,A-2,USD,21.000,5.00,-,Aa2,AA,-,-,-,-,-,-,Floating,3mL,-,-,-,350,-,-,Other,-
STDLF-II,2008-03-12,CLOS,STDLF-II,USOA,STDLF,D,USD,38.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Other,-
STDLF-II,2008-03-12,CLOS,STDLF-II,USOA,STDLF,C,USD,57.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Other,-
ABLF-I,2008-03-14,CLOS,ABLF-I,USOA,ABLF,Equity,USD,48.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Other,-
ABLF-I,2008-03-14,CLOS,ABLF-I,USOA,ABLF,E,USD,17.250,10.50,-,Ba2,BB,-,-,-,-,-,-,Floating,3mL,-,-,-,950,-,-,Other,-
ABLF-I,2008-03-14,CLOS,ABLF-I,USOA,ABLF,D,USD,19.250,10.30,-,Baa2,BBB,-,-,-,-,-,-,Floating,3mL,-,-,-,525,-,-,Other,-
