,Issuance_Date,Asset_Class,Deal_Name,Region,Ticker,Tranche,Currency,Size(M),WAL,WALX,Moodys,S&P,Fitch,DBRS,Kroll,MorningStar,C/E,LTV,TYPE,Bench,Guidance-L,Guidance-H,Spread,Coupon,Yield,Issue_Price,Market_Type
OBP-2010-OBP,2010-06-25,CMBS,OBP-2010-OBP,USOA,OBP,Cert,USD,650.000,10.02,-,-,AAA,AAA,-,-,AAA,-,-,Fixed,Swaps,-,-,150,4.65%,-,-,LLSASB
GSMS-2010-C1,2010-08-04,CMBS,GSMS-2010-C1,USOA,GSMS,A1,USD,232.000,4.96,-,Aaa,-,-,-,-,-,-,-,Fixed,Swaps,-,-,125,-,-,-,Conduit
GSMS-2010-C1,2010-08-04,CMBS,GSMS-2010-C1,USOA,GSMS,A2,USD,410.620,9.86,-,Aaa,-,-,-,-,-,-,-,Fixed,Swaps,-,-,135,-,-,-,Conduit
GSMS-2010-C1,2010-08-04,CMBS,GSMS-2010-C1,USOA,GSMS,B,USD,27.600,9.90,-,Aa2,-,-,-,-,-,-,-,Fixed,Swaps,-,-,190,-,-,-,Conduit
GSMS-2010-C1,2010-08-04,CMBS,GSMS-2010-C1,USOA,GSMS,C,USD,35.480,9.90,-,A2,-,-,-,-,-,-,-,Fixed,Swaps,-,-,265,-,-,-,Conduit
GSMS-2010-C1,2010-08-04,CMBS,GSMS-2010-C1,USOA,GSMS,D,USD,35.480,9.90,-,Baa3,-,-,-,-,-,-,-,Fixed,Swaps,-,-,400,-,-,-,Conduit
VNDO-2010-VNO,2010-08-10,CMBS,VNDO-2010-VNO,USOA,VNDO,C,USD,57.000,10.07,-,-,AA+,A,-,-,-,11.90%,39.0%,Fixed,Swaps,-,-,250,5.28%,-,-,LLSASB
VNDO-2010-VNO,2010-08-10,CMBS,VNDO-2010-VNO,USOA,VNDO,B,USD,38.700,10.07,-,-,AA+,AA,-,-,-,23.30%,34.0%,Fixed,Swaps,-,-,195,4.74%,-,-,LLSASB
VNDO-2010-VNO,2010-08-10,CMBS,VNDO-2010-VNO,USOA,VNDO,A2-FX,USD,304.300,10.07,-,-,AA+,AAA,-,-,-,31.00%,30.6%,Fixed,Swaps,-,-,135,4.00%,-,-,LLSASB
VNDO-2010-VNO,2010-08-10,CMBS,VNDO-2010-VNO,USOA,VNDO,A2-FL,USD,60.000,10.07,-,-,NR,-,-,-,-,-,30.6%,Fixed,Swaps,-,-,120,2.60%,-,-,LLSASB
VNDO-2010-VNO,2010-08-10,CMBS,VNDO-2010-VNO,USOA,VNDO,A1,USD,140.000,5.44,-,-,AA+,AAA,-,-,-,31.00%,30.6%,Fixed,Swaps,-,-,110,2.97%,-,-,LLSASB
VNDO-2010-VNO,2010-08-10,CMBS,VNDO-2010-VNO,USOA,VNDO,D,USD,60.000,10.07,-,-,AA+,BBB,-,-,-,-,44.3%,Fixed,Swaps,-,-,360,6.36%,-,-,LLSASB
JPMCC-2010-CNTR,2010-09-01,CMBS,JPMCC-2010-CNTR,USOA,JPMCC,A2,USD,272.100,9.89,-,Aaa,AAA,-,-,-,AAA,41.80%,24.0%,Fixed,Swaps,-,-,165,4.31%,-,-,LLSASB
JPMCC-2010-CNTR,2010-09-01,CMBS,JPMCC-2010-CNTR,USOA,JPMCC,B,USD,43.410,9.89,-,Aaa,AAA,-,-,-,AAA,29.10%,29.0%,Fixed,Swaps,-,-,250,5.02%,-,-,LLSASB
JPMCC-2010-CNTR,2010-09-01,CMBS,JPMCC-2010-CNTR,USOA,JPMCC,C,USD,38.630,9.89,-,Aaa,AA+,-,-,-,A+,17.80%,34.0%,Fixed,Swaps,-,-,300,5.51%,-,-,LLSASB
JPMCC-2010-CNTR,2010-09-01,CMBS,JPMCC-2010-CNTR,USOA,JPMCC,D,USD,60.460,9.89,-,A1,BBB+,-,-,-,BBB,-,41.0%,Fixed,Swaps,-,-,415,6.18%,-,-,LLSASB
JPMCC-2010-CNTR,2010-09-01,CMBS,JPMCC-2010-CNTR,USOA,JPMCC,X-A,USD,342.130,-,-,Aaa,AAA,-,-,-,AAA,-,-,-,-,-,-,-,1.87%,-,Int.,LLSASB
JPMCC-2010-CNTR,2010-09-01,CMBS,JPMCC-2010-CNTR,USOA,JPMCC,X-B,USD,82.040,-,-,Aaa,AA+,-,-,-,AAA,-,-,-,-,-,-,-,0.93%,-,Int.,LLSASB
JPMCC-2010-CNTR,2010-09-01,CMBS,JPMCC-2010-CNTR,USOA,JPMCC,A1,USD,70.030,5.49,-,NR,NR,-,-,-,-,-,24.0%,Fixed,Swaps,-,-,135,3.30%,-,-,LLSASB
FREMF-2010-KF35,2010-10-03,CMBS,FREMF-2010-KF35,USOA,FREMF,A,USD,"1,321.143",6.36,-,-,-,-,-,-,-,-,-,Floating,1mL,-,-,35,1mL+35,-,100.00000,Agency
FREMF-2010-KF35,2010-10-03,CMBS,FREMF-2010-KF35,USOA,FREMF,B,USD,36.698,6.41,-,-,-,-,-,-,-,-,-,Floating,1mL,-,-,275,1mL+275,-,100.00000,Agency
JPMCC-2010-C2,2010-10-07,CMBS,JPMCC-2010-C2,USOA,JPMCC,A2,USD,243.000,7.18,-,-,AAA,AAA,-,-,-,-,-,Fixed,Swaps,-,-,145,-,-,-,Conduit
JPMCC-2010-C2,2010-10-07,CMBS,JPMCC-2010-C2,USOA,JPMCC,A3,USD,390.000,9.79,-,-,AAA,AAA,-,-,-,-,-,Fixed,Swaps,-,-,150,-,-,-,Conduit
JPMCC-2010-C2,2010-10-07,CMBS,JPMCC-2010-C2,USOA,JPMCC,A1,USD,266.000,4.27,-,-,AAA,AAA,-,-,-,-,-,Fixed,Swaps,-,-,130,-,-,-,Conduit
COMM-2010-C1,2010-10-20,CMBS,COMM-2010-C1,USOA,COMM,C,USD,28.900,9.88,-,A2,-,A,-,-,-,-,-,Fixed,Swaps,-,-,310,-,-,-,Conduit
COMM-2010-C1,2010-10-20,CMBS,COMM-2010-C1,USOA,COMM,G,USD,12.900,9.88,-,B3,-,B-,-,-,-,-,-,-,-,-,-,-,-,-,-,Conduit
COMM-2010-C1,2010-10-20,CMBS,COMM-2010-C1,USOA,COMM,F,USD,12.900,9.88,-,B1,-,BB,-,-,-,-,-,-,-,-,-,-,-,-,-,Conduit
COMM-2010-C1,2010-10-20,CMBS,COMM-2010-C1,USOA,COMM,E,USD,7.500,9.88,-,Ba2,-,BBB-,-,-,-,-,-,Fixed,Swaps,-,-,625,-,-,-,Conduit
COMM-2010-C1,2010-10-20,CMBS,COMM-2010-C1,USOA,COMM,D,USD,44.900,9.88,-,Baa3,-,BBB-,-,-,-,-,-,Fixed,Swaps,-,-,425,-,-,-,Conduit
COMM-2010-C1,2010-10-20,CMBS,COMM-2010-C1,USOA,COMM,B,USD,24.700,9.88,-,Aa2,-,AA,-,-,-,-,-,Fixed,Swaps,-,-,240,-,-,-,Conduit
COMM-2010-C1,2010-10-20,CMBS,COMM-2010-C1,USOA,COMM,A3,USD,179.500,9.62,-,Aaa,-,AAA,-,-,-,17.38%,-,Fixed,Swaps,-,-,140,-,-,-,Conduit
COMM-2010-C1,2010-10-20,CMBS,COMM-2010-C1,USOA,COMM,A2,USD,75.100,7.30,-,Aaa,-,AAA,-,-,-,17.38%,-,Fixed,Swaps,-,-,138,-,-,-,Conduit
COMM-2010-C1,2010-10-20,CMBS,COMM-2010-C1,USOA,COMM,A1D,USD,40.000,4.41,-,Aaa,-,AAA,-,-,-,17.38%,-,Fixed,Swaps,-,-,122,-,-,-,Conduit
COMM-2010-C1,2010-10-20,CMBS,COMM-2010-C1,USOA,COMM,A1,USD,413.200,4.41,-,Aaa,-,AAA,-,-,-,17.38%,-,Fixed,Swaps,-,-,130,-,-,-,Conduit
COMM-2010-C1,2010-10-20,CMBS,COMM-2010-C1,USOA,COMM,H,USD,17.140,9.88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Conduit
WFCM-2010-C1,2010-10-28,CMBS,WFCM-2010-C1,USOA,WFCM,G,USD,16.558,9.99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Conduit
WFCM-2010-C1,2010-10-28,CMBS,WFCM-2010-C1,USOA,WFCM,F,USD,12.878,9.99,-,B2,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,Conduit
WFCM-2010-C1,2010-10-28,CMBS,WFCM-2010-C1,USOA,WFCM,B,USD,22.076,9.91,-,Aa2,-,AA,-,-,-,-,-,-,-,-,-,220,-,-,-,Conduit
WFCM-2010-C1,2010-10-28,CMBS,WFCM-2010-C1,USOA,WFCM,D,USD,34.034,9.93,-,Baa3,-,BBB,-,-,-,-,-,-,-,-,-,400,-,-,-,Conduit
WFCM-2010-C1,2010-10-28,CMBS,WFCM-2010-C1,USOA,WFCM,E,USD,13.797,9.99,-,Ba2,-,BBB-,-,-,-,-,-,-,-,-,-,-,-,-,-,Conduit
WFCM-2010-C1,2010-10-28,CMBS,WFCM-2010-C1,USOA,WFCM,A1,USD,162.000,5.05,-,Aaa,-,AAA,-,-,-,-,-,-,-,-,-,120,-,-,-,Conduit
