,Issuance_Date,Asset_Class,Deal_Name,Region,Ticker,Tranche,Currency,Size(M),WAL,WALX,Moodys,S&P,Fitch,DBRS,Kroll,MorningStar,C/E,LTV,TYPE,Bench,Guidance-L,Guidance-H,Spread,Coupon,Yield,Issue_Price,PricingSpeed,Market_Type
AHMAT-2009-ADV1,2009-06-02,RMBS,AHMAT-2009-ADV1,USOA,AHMAT,A2,USD,550.000,0.40,-,Aaa,AAA,-,-,-,-,-,-,Floating,-,-,-,275,1mL+275,-,100.00000,-,ServAdv
AHMAT-2009-ADV3,2009-10-01,RMBS,AHMAT-2009-ADV3,USOA,AHMAT,A,USD,600.000,1.99,-,-,AAA,AAA,-,-,-,-,-,Floating,1mL,-,-,-,1mL+195,-,100.00000,-,ServAdv
SMHL-2010-2,2010-07-10,RMBS,SMHL-2010-2,USOA,SMHL,A1,USD,335.000,1.54,-,-,AAA,AAA,-,-,-,-,-,Floating,3mL,-,-,120,1.44%,-,-,-,AUS
AHMAT-2010-ADV1,2010-08-06,RMBS,AHMAT-2010-ADV1,USOA,AHMAT,B1,USD,50.000,2.00,-,-,BBB,BBB,-,-,-,-,-,Fixed,-,-,-,-,-,-,-,-,ServAdv
AHMAT-2010-ADV1,2010-08-06,RMBS,AHMAT-2010-ADV1,USOA,AHMAT,A1,USD,200.000,2.00,-,-,AAA,AAA,-,-,-,-,-,Fixed,Swaps,-,-,-,3.97%,3.970%,100.00000,-,ServAdv
AHMAT-2010-ADV2,2010-11-05,RMBS,AHMAT-2010-ADV2,USOA,AHMAT,B1,USD,100.000,0.50,-,-,AAA,AAA,-,-,-,-,-,Fixed,-,-,-,-,8.83%,9.000%,99.99709,-,ServAdv
AHMAT-2010-ADV2,2010-11-05,RMBS,AHMAT-2010-ADV2,USOA,AHMAT,A1,USD,475.000,0.50,-,-,AAA,AAA,-,-,-,-,-,Fixed,-,-,-,-,4.21%,4.250%,99.99856,-,ServAdv
AHMSART-2011-1,2011-05-05,RMBS,AHMSART-2011-1,USOA,AHMSART,A1,USD,325.000,1.00,-,-,AAA,-,AAA,-,-,-,-,Fixed,Swaps,-,-,-,2.63%,2.650%,99.99459,-,ServAdv
AHMSART-2011-1,2011-05-05,RMBS,AHMSART-2011-1,USOA,AHMSART,A2,USD,325.000,2.00,-,-,AAA,-,AAA,-,-,-,-,Fixed,Swaps,-,-,-,3.37%,3.400%,99.98810,-,ServAdv
AHMSART-2011-1,2011-05-05,RMBS,AHMSART-2011-1,USOA,AHMSART,B,USD,150.000,1.00,-,-,BBB,-,BBB,-,-,-,-,Fixed,-,-,-,-,5.92%,6.000%,99.98806,-,ServAdv
AHMSART-2011-1,2011-05-05,RMBS,AHMSART-2011-1,USOA,AHMSART,C,USD,50.000,2.00,-,-,BBB,-,-,-,-,-,-,Fixed,-,-,-,-,5.92%,7.000%,98.17403,-,ServAdv
VOLT-2011-NPL1,2011-07-18,RMBS,VOLT-2011-NPL1,USOA,VOLT,A-2,USD,50.000,1.21,-,-,-,-,-,-,-,-,-,Fixed,-,-,-,-,9.08%,9.250%,100.00000,-,NonPerforming
VOLT-2011-NPL1,2011-07-18,RMBS,VOLT-2011-NPL1,USOA,VOLT,A-1,USD,117.000,0.59,-,-,-,-,-,-,-,-,-,Fixed,-,-,-,-,5.93%,6.000%,100.00000,-,NonPerforming
AHMSART-2011-2,2011-08-25,RMBS,AHMSART-2011-2,USOA,AHMSART,FVN,USD,150.000,-,-,-,AAA,-,-,-,-,-,-,Fixed,-,-,-,-,-,-,-,-,ServAdv
AHMSART-2011-2,2011-08-25,RMBS,AHMSART-2011-2,USOA,AHMSART,B1,USD,70.000,2.04,-,-,BBB,-,-,-,-,-,-,Fixed,Swaps,-,-,-,-,7.000%,99.99884,-,ServAdv
AHMSART-2011-2,2011-08-25,RMBS,AHMSART-2011-2,USOA,AHMSART,A1,USD,180.000,2.04,-,-,AAA,-,-,-,-,-,-,Fixed,Swaps,-,-,-,-,3.300%,99.98489,-,ServAdv
NRMBS-2011-2,2011-09-28,RMBS,NRMBS-2011-2,USOA,NRMBS,A1,USD,401.000,2.00,-,-,-,-,-,-,-,-,-,Floating,3mL,-,-,115,1.92%,-,-,-,AUS
SMHL-2012-1,2012-04-23,RMBS,SMHL-2012-1,USOA,SMHL,A1,USD,420.000,0.90,-,-,-,-,-,-,-,-,-,Floating,3mL,-,-,40,0.60%,-,-,-,AUS
AHMAT-2012-1,2012-05-03,RMBS,AHMAT-2012-1,USOA,AHMAT,A,USD,325.000,1.00,-,-,AAA,-,-,-,-,-,-,Fixed,-,-,-,-,2.23%,2.250%,99.99056,-,ServAdv
RESI-2012-1,2012-06-14,RMBS,RESI-2012-1,APAC,RESI,A1a,USD,250.000,0.98,-,-,-,-,-,-,-,-,-,Floating,1mL,-,-,50,0.70%,-,-,-,AUS
HSART-2012-T2,2012-10-10,RMBS,HSART-2012-T2,USOA,HSART,D2,USD,14.800,2.99,-,-,A,-,-,-,-,-,-,Fixed,-,-,-,-,4.94%,5.000%,99.97589,-,ServAdv
HSART-2012-T2,2012-10-10,RMBS,HSART-2012-T2,USOA,HSART,D1,USD,8.220,0.99,-,-,BBB,-,-,-,-,-,-,Fixed,-,-,-,-,3.96%,4.000%,99.99315,-,ServAdv
HSART-2012-T2,2012-10-10,RMBS,HSART-2012-T2,USOA,HSART,C2,USD,16.030,2.99,-,-,A,-,-,-,-,-,-,Fixed,-,-,-,-,3.96%,4.000%,99.98011,-,ServAdv
HSART-2012-T2,2012-10-10,RMBS,HSART-2012-T2,USOA,HSART,C1,USD,8.900,0.99,-,-,A,-,-,-,-,-,-,Fixed,Swaps,-,-,-,3.22%,3.250%,99.99200,-,ServAdv
HSART-2012-T2,2012-10-10,RMBS,HSART-2012-T2,USOA,HSART,B2,USD,32.050,2.99,-,-,AA,-,-,-,-,-,-,Fixed,Swaps,-,-,-,2.48%,2.500%,99.97961,-,ServAdv
HSART-2012-T2,2012-10-10,RMBS,HSART-2012-T2,USOA,HSART,B1,USD,17.810,0.99,-,-,AA,-,-,-,-,-,-,Fixed,-,-,-,-,1.74%,1.750%,99.99641,-,ServAdv
HSART-2012-T2,2012-10-10,RMBS,HSART-2012-T2,USOA,HSART,A2,USD,387.120,2.99,-,-,AAA,-,-,-,-,-,-,Fixed,-,-,-,-,1.99%,2.000%,99.99502,-,ServAdv
HSART-2012-T2,2012-10-10,RMBS,HSART-2012-T2,USOA,HSART,A1,USD,215.070,0.99,-,-,AAA,-,-,-,-,-,-,Fixed,-,-,-,-,1.34%,1.350%,99.99386,-,ServAdv
